from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
PORI1,2002,2,0,KPL__1__6433__RAIL____Total_Day_Count,60__1__426__MNM__2012__2012
4915,4915,2,0,22__1__444__NBM__30__2__30__2,21__1__444__NBM__205__4__205__4
3081,3081,2,120,19__0__423__TZM__209__1__209__1,1__1__456__TZM__103__1__103__1
5915,5915,2,0,21__0__407__NBM__31__2__31__2,22__0__407__NBM__32__2__32__2
PORI2,2001,2,0,KPL__0__6460__RAIL____Total_Day_Count,226__0__449__TZM__303__1__303__1
PETO2,9001,2,0,HVL__0__3844__RAIL____Total_Day_Count,154__0__415__TZM__410__410
3081,3081,2,120,60__1__452__MNM__2042__2042,1__1__502__TZM__202__1__202__1
2003,PORI1,2,0,210__1__420__TZM__307__1__307__1,KPL__1__6447__RAIL____Total_Day_Count
PARA2,1000,2,0,KPL__0__6422__RAIL____Total_Day_Count,260__0__407__UZM__701__1__701__1
8251,TAIT1,2,0,120__1__412__TZM__405__1__405__1,HVL__1__3821__RAIL____Total_Day_Count
7720,7700,2,60,29__0__417__TZM__121__121,7__1__464__TZM__117__1__117__1
7026,7224,2,240,12__1__442__NBM__37__2__37__2,2__0__539__NBM__1003__1__1003__1
5915,5915,2,0,21__0__439__NBM__10__2__10__2,22__0__439__NBM__27__2__27__2
PARA2,1000,2,0,KPL__0__6428__RAIL____Total_Day_Count,250__0__409__UZM__710__710
WATE2,9140,2,0,HVL__0__3870__RAIL____Total_Day_Count,170__0__465__TZM__601__1__601__1
1501,WAIK,2,240,281__0__417__UZM__719__719,KPL__1__6449__RAIL____Total_Day_Count
5915,5915,2,0,22__0__435__NBM__205__4__205__4,21__0__435__NBM__35__3__35__3
4915,4915,2,0,21__1__434__NBM__14__2__14__2,22__1__434__NBM__205__4__205__4
2001,PORI1,2,0,226__0__453__TZM__307__1__307__1,KPL__1__6459__RAIL____Total_Day_Count
6224,6224,2,240,2__1__580__NBM__23__2__23__2,12__0__451__NBM__46__46
TAIT2,9251,2,0,HVL__0__3830__RAIL____Total_Day_Count,120__0__425__TZM__416__416
1810,FEAT,2,0,200__1__406__TZM__1002__1__1002__1,WRL__1__1615__RAIL____Total_Day_Count
1810,FEAT,2,0,200__0__407__TZM__1001__1__1001__1,WRL__1__1615__RAIL____Total_Day_Count
7026,7224,2,240,12__1__444__NBM__24__2__24__2,2__0__557__NBM__27__2__27__2
2003,PORI1,2,0,226__0__437__TZM__303__1__303__1,KPL__1__6445__RAIL____Total_Day_Count
6224,6224,2,240,2__1__500__NBM__1003__1__1003__1,12__0__427__NBM__46__46
3081,3081,2,120,60__1__426__MNM__2012__2012,1__1__454__TZM__216__216
1501,WAIK,2,240,281__0__409__UZM__708__708,KPL__1__6433__RAIL____Total_Day_Count
WATE2,9140,2,0,HVL__0__3836__RAIL____Total_Day_Count,170__0__429__TZM__605__605
1501,WAIK,2,240,281__0__415__UZM__702__1__702__1,KPL__1__6445__RAIL____Total_Day_Count
UPPE,8579,2,240,HVL__0__3850__RAIL____Total_Day_Count,110__0__461__TZM__512__512
8251,TAIT1,2,0,120__1__476__TZM__408__1__408__1,HVL__1__3857__RAIL____Total_Day_Count
4915,4915,2,0,21__1__424__NBM__9__2__9__2,22__1__424__NBM__17__2__17__2
7026,7224,2,240,12__1__444__NBM__24__2__24__2,2__0__559__NBM__10__2__10__2
3081,3081,2,120,60__1__400__MNM__2091__2091,1__1__400__TZM__202__1__202__1
PORI2,2001,2,0,KPL__0__6452__RAIL____Total_Day_Count,210__0__419__TZM__302__1__302__1
8165,WATE1,2,0,130__1__438__TZM__411__411,HVL__1__3833__RAIL____Total_Day_Count
TREN,9525,2,240,HVL__0__3842__RAIL____Total_Day_Count,114__1__414__TZM__505__1__505__1
4915,4915,2,0,22__1__412__NBM__10__2__10__2,21__1__412__NBM__14__2__14__2
WAIK,1501,2,240,KPL__0__6428__RAIL____Total_Day_Count,290__0__405__UZM__716__716
2001,PORI1,2,0,220__0__461__TZM__303__1__303__1,KPL__1__6467__RAIL____Total_Day_Count
2003,PORI1,2,0,220__1__458__TZM__312__1__312__1,KPL__1__6467__RAIL____Total_Day_Count
PORI2,2001,2,0,KPL__0__6456__RAIL____Total_Day_Count,226__0__445__TZM__310__310
TAIT2,9251,2,0,HVL__0__3816__RAIL____Total_Day_Count,120__0__405__TZM__407__1__407__1
2003,PORI1,2,0,226__0__419__TZM__301__1__301__1,KPL__1__6427__RAIL____Total_Day_Count
8165,WATE1,2,0,150__1__438__TZM__406__1__406__1,HVL__1__3857__RAIL____Total_Day_Count
WAIK,1501,2,240,KPL__0__6444__RAIL____Total_Day_Count,280__0__417__UZM__702__1__702__1
WAIK,1501,2,240,KPL__0__6436__RAIL____Total_Day_Count,280__0__413__UZM__702__1__702__1
WAIK,1501,2,240,KPL__0__6428__RAIL____Total_Day_Count,280__0__409__UZM__708__708
WAIK,1501,2,240,KPL__0__6434__RAIL____Total_Day_Count,281__0__411__UZM__702__1__702__1
WAIK,1501,2,240,KPL__0__6426__RAIL____Total_Day_Count,281__0__407__UZM__708__708
WATE2,9140,2,0,HVL__0__3820__RAIL____Total_Day_Count,170__0__413__TZM__604__1__604__1
8580,UPPE,2,240,110__1__478__TZM__512__512,HVL__1__3855__RAIL____Total_Day_Count
7720,6720,2,0,29__0__427__TZM__109__2__109__2,7__0__491__TZM__119__1__119__1
6224,6224,2,240,2__1__564__NBM__14__2__14__2,12__0__441__NBM__8__2__8__2
2002,PORI1,2,0,236__1__430__TZM__305__1__305__1,KPL__1__6467__RAIL____Total_Day_Count
2002,PORI1,2,0,230__1__406__TZM__304__1__304__1,KPL__1__6419__RAIL____Total_Day_Count
2002,PORI1,2,0,230__1__402__TZM__301__1__301__1,KPL__1__6411__RAIL____Total_Day_Count
UPPE,8579,2,240,HVL__0__3856__RAIL____Total_Day_Count,111__0__449__TZM__507__507
7720,6720,2,0,29__0__409__TZM__115__1__115__1,7__0__431__TZM__111__2__111__2
8251,TAIT1,2,0,120__1__420__TZM__409__1__409__1,HVL__1__3825__RAIL____Total_Day_Count
WATE2,9140,2,0,HVL__0__3838__RAIL____Total_Day_Count,170__0__431__TZM__601__1__601__1
PORI2,2001,2,0,KPL__0__6456__RAIL____Total_Day_Count,220__0__445__TZM__305__1__305__1
8251,TAIT1,2,0,120__1__480__TZM__417__417,HVL__1__3863__RAIL____Total_Day_Count
PARA2,1001,2,240,KPL__0__6450__RAIL____Total_Day_Count,261__0__419__UZM__711__711
PARA2,1001,2,240,KPL__0__6442__RAIL____Total_Day_Count,261__0__415__UZM__711__711
6224,6224,2,240,2__1__446__NBM__20__2__20__2,12__0__409__NBM__25__3__25__3
9001,PETO1,2,0,154__0__403__TZM__410__410,HVL__1__3817__RAIL____Total_Day_Count
8251,TAIT1,2,0,120__1__444__TZM__419__419,HVL__1__3837__RAIL____Total_Day_Count
UPPE,8579,2,240,HVL__0__3846__RAIL____Total_Day_Count,112__0__417__TZM__505__1__505__1
UPPE,8579,2,240,HVL__0__3838__RAIL____Total_Day_Count,112__0__413__TZM__504__1__504__1
WATE2,9140,2,0,HVL__0__3866__RAIL____Total_Day_Count,170__0__461__TZM__601__1__601__1
8165,WATE1,2,0,150__1__424__TZM__405__1__405__1,HVL__1__3839__RAIL____Total_Day_Count
3081,3081,2,120,60__1__446__MNM__2042__2042,1__1__494__TZM__102__1__102__1
3081,3081,2,120,60e__1__104__MNM__2113__2113,1__1__402__TZM__114__1__114__1
TAIT2,9251,2,0,HVL__0__3840__RAIL____Total_Day_Count,120__0__445__TZM__409__1__409__1
PORI2,2003,2,0,KPL__0__6468__RAIL____Total_Day_Count,220__1__456__TZM__303__1__303__1
